Timestamp,Your name?,What is the name of your event?,Where will your mapping party be held?,Please insert a link to your venue on openstreetmap.org,Please insert a link where people can sign up,What date is your event taking place? (as YYYY-MM-DD),What time does your event start?,What time does your event end?,Country?,Is this is part of OSM GeoWeek 2020? (Nov 15-21),lat,long
uniqueID-14,,Mapaton ONLINE Burundi Cruz Roja,"Online, Spain, Spain",https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/27050159?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=13/05/2020&_activitiesDetail_professionId=478,https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/27050159?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=13/05/2020&_activitiesDetail_professionId=478,2020-05-13,17:00,19:00,[es],,,
uniqueID-15,,Portland Missing Maps - Remote Edition,"Online Only, Portland, OR, United States",https://www.eventbrite.com/e/missing-maps-mapathon-tickets-103641743244,https://www.eventbrite.com/e/missing-maps-mapathon-tickets-103641743244,2020-05-10,2:00,4:00,[us],,,
uniqueID-16,,Editathon virtual en pro de la cuarenta,"Virtual, Bogota, Colombia",https://www.meetup.com/Maptime-Colombia-OSM/events/270413127,https://www.meetup.com/Maptime-Colombia-OSM/events/270413127,2020-05-09,9:00,11:00,[co],,,
uniqueID-17,,Map With AI:Discover How Facebook Uses AI & OSM to Map the World !!,"Online, Online, Nigeria",https://web.facebook.com/events/875016966257748/,https://web.facebook.com/events/875016966257748/,2020-05-07,3:00,4:30,[ng],,,
uniqueID-18,,Missing Maps London,"Online, London, United Kingdom",https://www.eventbrite.co.uk/e/online-missing-maps-april-london-mid-month-mapping-partyworking-group-tickets-102336178264,https://www.eventbrite.co.uk/e/online-missing-maps-april-london-mid-month-mapping-partyworking-group-tickets-102336178264,2020-05-05,19:00,22:00,[gb],,,
uniqueID-19,,URBE Latam Mapping for Equitable Resilience in Morro do Preventório,"Online, Rio de Janeiro, Brazil",https://eu.bbcollab.com/guest/337f66b2155444a680316346aba9d13a,https://eu.bbcollab.com/guest/337f66b2155444a680316346aba9d13a,2020-05-04,11:00,13:00,[br],,,
uniqueID-20,,MAPATON ONLINE CRUZ ROJA,"ONLINE, Madrid, Spain",https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26712015?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=29/04/2020&_activitiesDetail_professionId=478,https://www2.cruzroja.es/web/cruzroja/detalle-actividades/-/actividad/26712015?_activitiesDetail_startHour=17:00&_activitiesDetail_endHour=19:00&_activitiesDetail_startDate=29/04/2020&_activitiesDetail_professionId=478,2020-04-29,17:00,19:00,[es],,,
uniqueID-21,,Dubnový mapathon,"Online , Prague, Czech Republic",https://osmcal.org/event/227/,https://www.eventbrite.co.uk/e/dubnovy-mapathon-tickets-102894036834,2020-04-28,18:00,20:00,[cz],,,
uniqueID-22,,Virtual Semester Start Mapathon “Humanitäre Hilfe und Klimawandel”,"remote on Zoom, remote, Germany",https://disastermappers.wordpress.com/2020/04/22/virtual-semester-start-mapathon-humanitare-hilfe-und-klimawandel/,https://disastermappers.wordpress.com/2020/04/22/virtual-semester-start-mapathon-humanitare-hilfe-und-klimawandel/,2020-04-28,18:00,21:00,[de],,,
uniqueID-23,,Missing Maps Seoul,"Online, Seoul, South Korea",https://www.openstreetmap.org/#map=11/37.5604/126.8756,https://open.kakao.com/o/gGymF65b,2020-04-24,20:00,22:00,[kr],,37.5604,126.8756
